Date,Price,Open,High,Low,Vol.,Change %
2020-06-11,"12,645.00","13,017.50","13,045.00","12,602.50",-,-2.75%
2020-06-10,"13,002.50","12,877.50","13,062.50","12,807.50",-,0.74%
2020-06-09,"12,907.50","13,040.00","13,095.00","12,725.00",-,-1.21%
2020-06-08,"13,065.00","12,942.50","13,117.50","12,867.50",-,1.06%
2020-06-05,"12,927.50","12,777.50","13,012.50","12,745.00",-,1.04%
2020-06-04,"12,795.00","12,805.00","12,842.50","12,537.50",-,0.02%
2020-06-03,"12,792.50","12,867.50","12,922.50","12,670.00",-,-0.60%
2020-06-02,"12,870.00","12,580.00","12,882.50","12,542.50",-,2.28%
2020-06-01,"12,582.50","12,410.00","12,677.50","12,402.50",-,1.68%
2020-05-29,"12,375.00","12,207.50","12,382.50","12,137.50",-,1.10%
2020-05-28,"12,240.00","12,170.00","12,307.50","12,130.00",-,0.78%
2020-05-27,"12,145.00","12,327.50","12,337.50","12,092.50",-,-1.62%
2020-05-26,"12,345.00","12,195.00","12,412.50","12,195.00",-,0.65%
2020-05-22,"12,265.00","12,430.00","12,652.50","12,107.50",-,-1.31%
2020-05-21,"12,427.50","12,657.50","12,907.50","12,407.50",-,-2.13%
2020-05-20,"12,697.50","12,432.50","12,705.00","12,382.50",-,1.82%
2020-05-19,"12,470.00","12,295.00","12,477.50","12,230.00",-,1.71%
2020-05-18,"12,260.00","11,870.00","12,267.50","11,837.50",-,3.68%
2020-05-15,"11,825.00","12,110.00","12,110.00","11,822.50",-,-1.95%
2020-05-14,"12,060.00","12,242.50","12,315.00","11,962.50",-,-1.53%
2020-05-13,"12,247.50","12,265.00","12,357.50","12,135.00",-,-0.26%
2020-05-12,"12,280.00","12,377.50","12,475.00","12,235.00",-,-0.97%
2020-05-11,"12,400.00","12,377.50","12,497.50","12,222.50",-,0.94%
2020-05-07,"12,285.00","12,332.50","12,397.50","12,167.50",-,-0.32%
2020-05-06,"12,325.00","12,050.00","12,332.50","11,875.00",-,2.45%
2020-05-05,"12,030.00","11,837.50","12,047.50","11,802.50",-,1.88%
2020-05-04,"11,807.50","11,885.00","11,957.50","11,802.50",-,-1.03%
2020-05-01,"11,930.00","12,110.00","12,195.00","11,832.50",-,-1.67%
2020-04-30,"12,132.50","12,330.00","12,355.00","12,132.50",-,-1.40%
2020-04-29,"12,305.00","12,330.00","12,375.00","12,185.00",-,-0.18%
2020-04-28,"12,327.50","12,257.50","12,440.00","12,092.50",-,0.80%
2020-04-27,"12,230.00","12,257.50","12,592.50","12,157.50",-,-0.24%
2020-04-24,"12,260.00","12,170.00","12,312.50","12,047.50",-,0.66%
2020-04-23,"12,180.00","11,932.50","12,240.00","11,882.50",-,1.95%
2020-04-22,"11,947.50","12,190.00","12,222.50","11,777.50",-,-1.85%
2020-04-21,"12,172.50","12,465.00","12,495.00","12,135.00",-,-2.48%
2020-04-20,"12,482.50","12,042.50","12,535.00","11,920.00",-,3.46%
2020-04-17,"12,065.00","11,805.00","12,067.50","11,787.50",-,2.62%
2020-04-16,"11,757.50","11,780.00","11,797.50","11,622.50",-,-0.13%
2020-04-15,"11,772.50","11,857.50","11,997.50","11,747.50",-,-1.09%
2020-04-14,"11,902.50","11,717.50","11,907.50","11,715.00",-,1.77%
2020-04-09,"11,695.00","11,532.50","11,702.50","11,477.50",-,1.63%
2020-04-08,"11,507.50","11,407.50","11,582.50","11,335.00",-,0.59%
2020-04-07,"11,440.00","11,325.00","11,510.00","11,302.50",-,1.31%
2020-04-06,"11,292.50","11,235.00","11,312.50","11,207.50",-,0.69%
2020-04-03,"11,215.00","11,322.50","11,352.50","11,205.00",-,-0.69%
2020-04-02,"11,292.50","11,265.00","11,352.50","10,962.50",-,0.36%
2020-04-01,"11,252.50","11,440.00","11,440.00","11,235.00",-,-1.90%
2020-03-31,"11,470.00","11,340.00","11,495.00","11,232.50",-,1.35%
2020-03-30,"11,317.50","11,372.50","11,452.50","11,262.50",-,-0.85%
2020-03-27,"11,415.00","11,267.50","11,420.00","11,225.00",-,1.74%
2020-03-26,"11,220.00","11,302.50","11,322.50","11,112.50",-,-0.88%
2020-03-25,"11,320.00","11,385.00","11,385.00","11,102.50",-,0.33%
2020-03-24,"11,282.50","11,177.50","11,292.50","10,980.00",-,3.23%
2020-03-23,"10,930.00","11,125.00","11,280.00","10,867.50",-,-3.53%
2020-03-20,"11,330.00","11,297.50","11,687.50","11,270.00",-,0.24%
2020-03-19,"11,302.50","11,452.50","11,635.00","11,092.50",-,-0.70%
2020-03-18,"11,382.50","11,927.50","12,162.50","11,307.50",-,-4.45%
2020-03-17,"11,912.50","12,050.00","12,290.00","11,812.50",-,-0.75%
2020-03-16,"12,002.50","12,225.00","12,457.50","11,670.00",-,-2.48%
2020-03-13,"12,307.50","11,917.50","12,812.50","11,742.50",-,3.58%
2020-03-12,"11,882.50","12,417.50","12,492.50","11,735.00",-,-4.54%
2020-03-11,"12,447.50","12,767.50","12,905.00","12,352.50",-,-2.24%
2020-03-10,"12,732.50","12,635.00","12,987.50","12,577.50",-,1.01%
2020-03-09,"12,605.00","12,757.50","12,757.50","12,305.00",-,-1.81%
2020-03-06,"12,837.50","12,867.50","12,882.50","12,665.00",-,-0.47%
2020-03-05,"12,897.50","12,702.50","12,912.50","12,675.00",-,1.70%
2020-03-04,"12,682.50","12,712.50","12,817.50","12,627.50",-,-0.04%
2020-03-03,"12,687.50","12,747.50","12,915.00","12,502.50",-,0.08%
2020-03-02,"12,677.50","12,210.00","12,737.50","12,210.00",-,3.74%
2020-02-28,"12,220.00","12,407.50","12,410.00","12,142.50",-,-1.31%
2020-02-27,"12,382.50","12,470.00","12,545.00","12,287.50",-,-0.84%
2020-02-26,"12,487.50","12,522.50","12,590.00","12,357.50",-,-0.30%
2020-02-25,"12,525.00","12,495.00","12,765.00","12,447.50",-,0.50%
2020-02-24,"12,462.50","12,495.00","12,670.00","12,370.00",-,-0.87%
2020-02-21,"12,572.50","12,757.50","12,782.50","12,505.00",-,-1.30%
2020-02-20,"12,737.50","12,845.00","12,962.50","12,652.50",-,-0.88%
2020-02-19,"12,850.00","12,870.00","12,987.50","12,692.50",-,-0.02%
2020-02-18,"12,852.50","13,140.00","13,185.00","12,772.50",-,-2.26%
2020-02-17,"13,150.00","13,070.00","13,202.50","13,050.00",-,0.79%
2020-02-14,"13,047.50","13,252.50","13,342.50","13,022.50",-,-1.58%
2020-02-13,"13,257.50","13,120.00","13,292.50","13,052.50",-,0.80%
2020-02-12,"13,152.50","13,142.50","13,227.50","12,940.00",-,0.25%
2020-02-11,"13,120.00","12,952.50","13,277.50","12,952.50",-,1.53%
2020-02-10,"12,922.50","12,790.00","13,080.00","12,790.00",-,0.70%
2020-02-07,"12,832.50","13,092.50","13,207.50","12,762.50",-,-2.10%
2020-02-06,"13,107.50","13,217.50","13,307.50","13,075.00",-,-0.76%
