Date,Price,Open,High,Low,Vol.,Change %
2020-08-12,120.19,120.19,120.19,120.19,-,0.76%
2020-08-11,119.28,119.28,119.28,119.28,-,0.79%
2020-08-10,118.34,118.34,118.34,118.34,-,0.23%
2020-08-07,118.07,118.07,118.07,118.07,-,-0.69%
2020-08-06,118.89,118.89,118.89,118.89,-,2.25%
2020-08-05,116.27,116.27,116.27,116.27,-,0.62%
2020-08-04,115.55,115.55,115.55,115.55,-,1.17%
2020-08-03,114.21,114.21,114.21,114.21,-,4.88%
2020-07-31,108.9,108.9,108.9,108.9,-,0.79%
2020-07-30,108.05,108.05,108.05,108.05,-,0.16%
2020-07-29,107.88,107.88,107.88,107.88,-,0.15%
2020-07-28,107.72,107.72,107.72,107.72,-,0.24%
2020-07-27,107.46,107.46,107.46,107.46,-,-0.21%
2020-07-24,107.69,107.69,107.69,107.69,-,-0.08%
2020-07-23,107.78,107.78,107.78,107.78,-,-0.24%
2020-07-22,108.04,108.04,108.04,108.04,-,0.43%
2020-07-21,107.58,107.58,107.58,107.58,-,0.37%
2020-07-20,107.18,107.18,107.18,107.18,-,-0.04%
2020-07-17,107.22,107.22,107.22,107.22,-,0.02%
2020-07-16,107.2,107.2,107.2,107.2,-,-0.34%
2020-07-15,107.57,107.57,107.57,107.57,-,0.11%
2020-07-14,107.45,107.45,107.45,107.45,-,0.49%
2020-07-13,106.93,106.93,106.93,106.93,-,1.27%
2020-07-10,105.59,105.59,105.59,105.59,-,0.94%
2020-07-09,104.61,104.61,104.61,104.61,-,-0.40%
2020-07-08,105.03,105.03,105.03,105.03,-,1.93%
2020-07-07,103.04,103.04,103.04,103.04,-,1.48%
2020-07-06,101.54,101.54,101.54,101.54,-,2.63%
2020-07-02,98.94,98.94,98.94,98.94,-,0.95%
2020-07-01,98.01,98.01,98.01,98.01,-,-4.80%
2020-06-30,102.95,102.95,102.95,102.95,-,-0.11%
2020-06-29,103.06,103.06,103.06,103.06,-,-0.16%
2020-06-26,103.23,103.23,103.23,103.23,-,0.15%
2020-06-25,103.08,103.08,103.08,103.08,-,-0.04%
2020-06-24,103.12,103.12,103.12,103.12,-,0.26%
2020-06-23,102.85,102.85,102.85,102.85,-,-0.08%
2020-06-22,102.93,102.93,102.93,102.93,-,-0.11%
2020-06-19,103.04,103.04,103.04,103.04,-,-0.01%
2020-06-18,103.05,103.05,103.05,103.05,-,-0.13%
2020-06-17,103.18,103.18,103.18,103.18,-,-0.27%
2020-06-16,103.46,103.46,103.46,103.46,-,0.38%
2020-06-15,103.07,103.07,103.07,103.07,-,-0.50%
2020-06-12,103.59,103.59,103.59,103.59,-,0.82%
2020-06-11,102.75,102.75,102.75,102.75,-,-0.14%
2020-06-10,102.89,102.89,102.89,102.89,-,-0.09%
2020-06-09,102.98,102.98,102.98,102.98,-,-0.42%
2020-06-08,103.41,103.41,103.41,103.41,-,3.14%
2020-06-05,100.26,100.26,100.26,100.26,-,1.43%
2020-06-04,98.85,98.85,98.85,98.85,-,-1.54%
2020-06-03,100.4,100.4,100.4,100.4,-,-0.27%
2020-06-02,100.67,100.67,100.67,100.67,-,1.52%
2020-06-01,99.16,99.16,99.16,99.16,0.00K,7.15%
2020-05-29,92.54,92.54,92.54,92.54,-,0.53%
2020-05-28,92.05,92.05,92.05,92.05,-,0.26%
2020-05-27,91.81,91.81,91.81,91.81,-,0.19%
2020-05-26,91.64,91.64,91.64,91.64,-,0.24%
2020-05-22,91.42,91.42,91.42,91.42,-,0.24%
2020-05-21,91.2,91.2,91.2,91.2,-,0.08%
2020-05-20,91.13,91.13,91.13,91.13,-,0.53%
2020-05-19,90.65,90.65,90.65,90.65,-,-0.92%
2020-05-18,91.49,91.49,91.49,91.49,-,2.22%
2020-05-15,89.5,89.5,89.5,89.5,-,0.86%
2020-05-14,88.74,88.74,88.74,88.74,-,0.44%
2020-05-13,88.35,88.35,88.35,88.35,-,0.61%
2020-05-12,87.81,87.81,87.81,87.81,-,1.29%
2020-05-11,86.69,86.69,86.69,86.69,-,-0.17%
2020-05-08,86.84,86.84,86.84,86.84,-,1.06%
2020-05-07,85.93,85.93,85.93,85.93,-,3.17%
2020-05-06,83.29,83.29,83.29,83.29,-,0.28%
2020-05-05,83.06,83.06,83.06,83.06,-,1.11%
2020-05-04,82.15,82.15,82.15,82.15,-,-0.42%
2020-05-01,82.5,82.5,82.5,82.5,-,-1.60%
2020-04-30,83.84,83.84,83.84,83.84,-,0.01%
2020-04-29,83.83,83.83,83.83,83.83,-,-0.06%
2020-04-28,83.88,83.88,83.88,83.88,-,-0.10%
2020-04-27,83.96,83.96,83.96,83.96,-,-0.02%
2020-04-24,83.98,83.98,83.98,83.98,-,-0.07%
2020-04-23,84.04,84.04,84.04,84.04,-,-0.11%
2020-04-22,84.13,84.13,84.13,84.13,-,0.25%
2020-04-21,83.92,83.92,83.92,83.92,-,-0.60%
2020-04-20,84.43,84.43,84.43,84.43,-,0.31%
2020-04-17,84.17,84.17,84.17,84.17,-,0.15%
2020-04-16,84.04,84.04,84.04,84.04,-,-0.21%
2020-04-15,84.22,84.22,84.22,84.22,-,-0.04%
2020-04-14,84.25,84.25,84.25,84.25,-,0.49%
2020-04-13,83.84,83.84,83.84,83.84,-,0.59%
2020-04-09,83.35,83.35,83.35,83.35,-,0.58%
2020-04-08,82.87,82.87,82.87,82.87,-,1.18%
2020-04-07,81.9,81.9,81.9,81.9,-,-0.72%
2020-04-06,82.49,82.49,82.49,82.49,-,0.13%
2020-04-03,82.38,82.38,82.38,82.38,-,0.80%
2020-04-02,81.73,81.73,81.73,81.73,-,1.73%
2020-04-01,80.34,80.34,80.34,80.34,0.14K,-8.73%
2020-03-31,88.02,88.02,88.02,88.02,-,-0.23%
2020-03-30,88.22,88.22,88.22,88.22,-,-0.31%
2020-03-27,88.49,88.49,88.49,88.49,-,-0.12%
2020-03-26,88.6,88.6,88.6,88.6,-,-0.19%
2020-03-25,88.77,88.77,88.77,88.77,-,0.35%
2020-03-24,88.46,88.46,88.46,88.46,-,-0.10%
2020-03-23,88.55,88.55,88.55,88.55,-,-1.14%
2020-03-20,89.57,89.57,89.57,89.57,-,-0.44%
2020-03-19,89.97,89.97,89.97,89.97,-,-0.52%
2020-03-18,90.44,90.44,90.44,90.44,-,0.54%
2020-03-17,89.95,89.95,89.95,89.95,-,-0.04%
2020-03-16,89.99,89.99,89.99,89.99,-,-0.16%
2020-03-13,90.13,90.13,90.13,90.13,-,0.73%
2020-03-12,89.48,89.48,89.48,89.48,-,-0.12%
2020-03-11,89.59,89.59,89.59,89.59,-,-0.62%
2020-03-10,90.15,90.15,90.15,90.15,-,2.36%
2020-03-09,88.07,88.07,88.07,88.07,-,-1.24%
2020-03-06,89.18,89.18,89.18,89.18,-,-1.04%
2020-03-05,90.12,90.12,90.12,90.12,0.18K,0.55%
2020-03-04,89.63,89.63,89.63,89.63,-,2.86%
2020-03-03,87.14,87.14,87.14,87.14,-,0.05%
2020-03-02,87.1,87.1,87.1,87.1,-,0.74%
2020-02-28,86.46,86.46,86.46,86.46,-,-0.14%
2020-02-27,86.58,86.58,86.58,86.58,-,-0.10%
2020-02-26,86.67,86.67,86.67,86.67,-,-0.07%
2020-02-25,86.73,86.73,86.73,86.73,-,0.20%
2020-02-24,86.56,86.56,86.56,86.56,-,0.16%
2020-02-21,86.42,86.42,86.42,86.42,-,0.31%
2020-02-20,86.15,86.15,86.15,86.15,-,0.53%
2020-02-19,85.7,85.7,85.7,85.7,-,0.32%
2020-02-18,85.43,85.43,85.43,85.43,-,0.67%
2020-02-14,84.86,84.86,84.86,84.86,-,-0.33%
2020-02-13,85.14,85.14,85.14,85.14,-,0.79%
