Date,Price,Open,High,Low,Vol.,Change %
186,2011-07-25,172.7,172.7,172.7,172.7,-,0.06%
187,2011-07-26,172.8,172.8,172.8,172.8,-,0.06%
188,2011-07-27,173.0,173.0,173.0,173.0,-,0.12%
189,2011-07-28,173.1,173.1,173.1,173.1,-,0.06%
190,2011-08-01,173.1,173.1,173.1,173.1,-,0.00%
191,2011-08-02,173.3,173.3,173.3,173.3,-,0.12%
192,2011-08-03,177.9,177.9,177.9,177.9,-,2.65%
193,2011-08-04,177.8,177.8,177.8,177.8,-,-0.06%
194,2011-08-05,175.3,175.3,175.3,175.3,-,-1.41%
195,2011-08-08,175.2,175.2,175.2,175.2,-,-0.06%
196,2011-08-09,174.8,174.8,174.8,174.8,-,-0.23%
197,2011-08-10,176.1,176.1,176.1,176.1,-,0.74%
198,2011-08-11,175.6,175.6,175.6,175.6,-,-0.28%
199,2011-08-12,175.8,175.8,175.8,175.8,-,0.11%
200,2011-08-15,176.2,176.2,176.2,176.2,-,0.23%
201,2011-08-16,176.7,176.7,176.7,176.7,-,0.28%
202,2011-08-17,176.9,176.9,176.9,176.9,-,0.11%
203,2011-08-18,177.0,177.0,177.0,177.0,-,0.06%
204,2011-08-19,177.0,177.0,177.0,177.0,-,0.00%
205,2011-08-22,177.0,177.0,177.0,177.0,-,0.00%
206,2011-08-23,177.1,177.1,177.1,177.1,-,0.06%
207,2011-08-24,177.2,177.2,177.2,177.2,-,0.06%
208,2011-08-25,177.2,177.2,177.2,177.2,-,0.00%
209,2011-08-26,177.3,177.3,177.3,177.3,-,0.06%
210,2011-08-29,177.3,177.3,177.3,177.3,-,0.00%
211,2011-08-30,177.3,177.3,177.3,177.3,-,0.00%
212,2011-08-31,177.4,177.4,177.4,177.4,-,0.06%
213,2011-09-01,178.5,178.5,178.5,178.5,-,0.62%
214,2011-09-02,179.1,179.1,179.1,179.1,-,0.34%
215,2011-09-06,178.6,178.6,178.6,178.6,-,-0.28%
216,2011-09-07,179.4,179.4,179.4,179.4,-,0.45%
217,2011-09-08,179.5,179.5,179.5,179.5,-,0.06%
218,2011-09-09,178.1,178.1,178.1,178.1,-,-0.78%
219,2011-09-12,178.2,178.2,178.2,178.2,-,0.06%
220,2011-09-13,179.0,179.0,179.0,179.0,-,0.45%
221,2011-09-14,178.8,178.8,178.8,178.8,-,-0.11%
222,2011-09-15,178.9,178.9,178.9,178.9,-,0.06%
223,2011-09-16,178.8,178.8,178.8,178.8,-,-0.06%
224,2011-09-19,178.5,178.5,178.5,178.5,-,-0.17%
225,2011-09-20,178.7,178.7,178.7,178.7,-,0.11%
226,2011-09-21,178.5,178.5,178.5,178.5,-,-0.11%
227,2011-09-22,178.5,178.5,178.5,178.5,-,0.00%
228,2011-09-23,178.3,178.3,178.3,178.3,-,-0.11%
229,2011-09-26,178.1,178.1,178.1,178.1,-,-0.11%
230,2011-09-27,177.9,177.9,177.9,177.9,-,-0.11%
231,2011-09-28,177.8,177.8,177.8,177.8,-,-0.06%
232,2011-09-29,177.5,177.5,177.5,177.5,-,-0.17%
233,2011-10-03,158.6,158.6,158.6,158.6,-,-10.65%
234,2011-10-04,163.3,163.3,163.3,163.3,-,2.96%
235,2011-10-05,164.5,164.5,164.5,164.5,-,0.73%
236,2011-10-06,165.5,165.5,165.5,165.5,-,0.61%
237,2011-10-07,167.1,167.1,167.1,167.1,-,0.97%
238,2011-10-10,165.9,165.9,165.9,165.9,-,-0.72%
239,2011-10-11,164.3,164.3,164.3,164.3,-,-0.96%
240,2011-10-12,163.2,163.2,163.2,163.2,-,-0.67%
241,2011-10-13,162.4,162.4,162.4,162.4,-,-0.49%
242,2011-10-14,162.6,162.6,162.6,162.6,-,0.12%
243,2011-10-17,161.2,161.2,161.2,161.2,-,-0.86%
244,2011-10-18,159.7,159.7,159.7,159.7,-,-0.93%
245,2011-10-19,159.2,159.2,159.2,159.2,-,-0.31%
246,2011-10-20,158.6,158.6,158.6,158.6,-,-0.38%
