Date,Price,Open,High,Low,Vol.,Change %
266,2011-01-28,765,765,765,765,-,0.00%
267,2011-01-31,765,765,765,765,-,0.00%
268,2011-02-01,775,775,775,775,-,1.31%
269,2011-02-02,800,800,800,800,-,3.23%
270,2011-02-03,800,800,800,800,0.03K,0.00%
271,2011-02-04,800,800,800,800,-,0.00%
272,2011-02-07,795,795,795,795,-,-0.63%
273,2011-02-08,795,795,795,795,-,0.00%
274,2011-02-09,795,795,795,795,-,0.00%
275,2011-02-10,800,800,800,800,-,0.63%
276,2011-02-11,800,800,800,800,-,0.00%
277,2011-02-14,805,805,805,805,-,0.63%
278,2011-02-15,800,800,808,800,-,-0.62%
279,2011-02-16,810,810,810,810,-,1.25%
280,2011-02-17,810,810,810,810,-,0.00%
281,2011-02-18,810,810,810,810,-,0.00%
282,2011-02-22,810,810,810,810,-,0.00%
283,2011-02-23,845,845,845,845,-,4.32%
284,2011-02-24,845,845,845,845,-,0.00%
285,2011-02-25,845,845,845,845,-,0.00%
286,2011-02-28,845,845,845,845,-,0.00%
287,2011-03-01,860,860,860,860,-,1.78%
288,2011-03-02,865,865,865,865,-,0.58%
289,2011-03-03,870,870,870,870,-,0.58%
290,2011-03-04,870,870,870,870,-,0.00%
291,2011-03-07,870,870,870,870,-,0.00%
292,2011-03-08,870,870,870,870,-,0.00%
293,2011-03-09,870,870,870,870,-,0.00%
294,2011-03-10,870,870,870,870,-,0.00%
295,2011-03-11,875,875,875,875,-,0.57%
296,2011-03-14,875,875,875,875,-,0.00%
297,2011-03-15,875,875,875,875,-,0.00%
298,2011-03-16,875,875,875,875,-,0.00%
299,2011-03-17,875,875,875,875,-,0.00%
300,2011-03-18,875,875,875,875,-,0.00%
301,2011-03-21,875,875,875,875,-,0.00%
302,2011-03-22,875,875,875,875,-,0.00%
303,2011-03-23,875,875,875,875,-,0.00%
304,2011-03-24,875,875,875,875,-,0.00%
305,2011-03-25,875,875,875,875,-,0.00%
306,2011-03-28,875,875,875,875,-,0.00%
307,2011-03-29,880,880,880,880,-,0.57%
308,2011-03-30,875,875,875,875,-,-0.57%
309,2011-03-31,880,880,880,880,-,0.57%
310,2011-04-01,880,880,880,880,-,0.00%
311,2011-04-04,870,870,870,870,-,-1.14%
312,2011-04-05,857,857,857,857,-,-1.49%
313,2011-04-06,857,857,857,857,-,0.00%
314,2011-04-07,857,857,857,857,-,0.00%
315,2011-04-11,880,880,880,880,-,2.68%
316,2011-04-12,855,855,855,855,-,-2.84%
317,2011-04-13,855,855,855,855,-,0.00%
318,2011-04-14,850,850,850,850,-,-0.58%
319,2011-04-15,850,850,850,850,-,0.00%
320,2011-04-18,850,850,850,850,-,0.00%
321,2011-04-19,850,850,850,850,-,0.00%
322,2011-04-20,858,858,858,858,-,0.94%
323,2011-04-21,858,858,855,858,-,0.00%
324,2011-04-25,858,858,858,858,-,0.00%
325,2011-04-26,858,858,858,858,-,0.00%
326,2011-04-27,780,780,780,780,-,-9.09%
327,2011-04-28,780,780,780,780,-,0.00%
328,2011-04-29,780,780,780,780,-,0.00%
329,2011-05-02,780,780,780,780,-,0.00%
330,2011-05-03,780,780,780,780,-,0.00%
331,2011-05-04,780,780,780,780,-,0.00%
332,2011-05-05,800,800,800,800,-,2.56%
333,2011-05-06,800,800,800,800,-,0.00%
334,2011-05-09,800,800,800,800,-,0.00%
335,2011-05-10,800,800,800,800,-,0.00%
336,2011-05-11,800,800,800,800,-,0.00%
337,2011-05-12,800,800,800,800,-,0.00%
338,2011-05-13,800,800,800,800,-,0.00%
339,2011-05-16,800,800,800,800,-,0.00%
340,2011-05-17,800,800,800,800,-,0.00%
341,2011-05-18,800,800,800,800,-,0.00%
342,2011-05-19,800,800,800,800,-,0.00%
343,2011-05-20,800,800,800,800,-,0.00%
344,2011-05-23,800,800,800,800,-,0.00%
345,2011-05-24,795,795,795,795,-,-0.63%
346,2011-05-25,750,750,750,750,0.00K,-5.66%
347,2011-05-26,762.5,755,765,755,0.01K,1.67%
348,2011-05-27,768,770,775,770,0.02K,0.72%
349,2011-05-31,760,760,760,760,-,-1.04%
350,2011-06-01,755,758,758,755,0.01K,-0.66%
351,2011-06-02,755,755,755,755,-,0.00%
352,2011-06-03,760,760,760,760,0.01K,0.66%
353,2011-06-05,760,760,760,760,0.01K,0.00%
354,2011-06-06,760,760,760,760,-,0.00%
355,2011-06-07,760,760,760,760,-,0.00%
356,2011-06-08,760,760,760,760,-,0.00%
357,2011-06-09,760,760,760,760,-,0.00%
358,2011-06-10,760,760,760,760,-,0.00%
359,2011-06-12,760,760,760,760,-,0.00%
360,2011-06-13,748,748,748,748,-,-1.58%
361,2011-06-14,748,748,748,748,-,0.00%
362,2011-06-15,748,748,748,748,-,0.00%
363,2011-06-16,748,748,748,748,-,0.00%
364,2011-06-17,750,750,750,750,-,0.27%
365,2011-06-19,750,750,750,750,-,0.00%
366,2011-06-20,750,750,750,750,-,0.00%
367,2011-06-21,750,750,750,750,-,0.00%
368,2011-06-22,750,750,750,750,-,0.00%
369,2011-06-23,750,750,750,750,-,0.00%
370,2011-06-24,751,751,751,751,-,0.13%
371,2011-06-26,751,751,751,751,-,0.00%
372,2011-06-27,751,751,751,751,-,0.00%
373,2011-06-28,751,751,751,751,-,0.00%
374,2011-06-29,725,725,725,725,0.01K,-3.46%
375,2011-06-30,722,722,722,722,0.01K,-0.41%
376,2011-07-01,722,722,722,722,-,0.00%
377,2011-07-03,722,722,722,722,-,0.00%
378,2011-07-05,722,722,722,722,-,0.00%
379,2011-07-06,722,722,722,722,-,0.00%
380,2011-07-07,725,735,735,728,0.00K,0.42%
381,2011-07-08,725,705,705,705,0.00K,0.00%
382,2011-07-10,725,705,705,705,0.00K,0.00%
383,2011-07-11,725,725,725,725,-,0.00%
384,2011-07-12,720,720,720,720,-,-0.69%
385,2011-07-13,720,720,720,720,-,0.00%
386,2011-07-14,715,715,715,715,-,-0.69%
387,2011-07-15,715,715,715,715,-,0.00%
388,2011-07-17,715,715,715,715,-,0.00%
389,2011-07-18,715,715,715,715,-,0.00%
390,2011-07-19,708,708,708,708,-,-0.98%
391,2011-07-20,708,708,708,708,-,0.00%
392,2011-07-21,709,709,709,709,-,0.14%
393,2011-07-22,710,710,710,710,-,0.14%
394,2011-07-24,710,710,710,710,-,0.00%
395,2011-07-25,710,710,710,710,-,0.00%
396,2011-07-26,710,710,710,710,-,0.00%
397,2011-07-27,685,685,685,685,-,-3.52%
398,2011-07-28,680,680,680,680,0.10K,-0.73%
399,2011-07-29,680,680,680,680,-,0.00%
400,2011-07-31,680,680,680,680,-,0.00%
401,2011-08-01,680,685,685,685,0.05K,0.00%
402,2011-08-02,670,670,670,670,0.05K,-1.47%
403,2011-08-03,670,670,670,670,0.05K,0.00%
404,2011-08-04,673,673,673,673,-,0.45%
405,2011-08-05,670,670,670,670,-,-0.45%
406,2011-08-07,670,670,670,670,-,0.00%
407,2011-08-08,670,670,670,670,-,0.00%
408,2011-08-09,670,670,670,670,-,0.00%
409,2011-08-10,665,665,665,665,-,-0.75%
410,2011-08-11,665,665,665,665,-,0.00%
411,2011-08-12,665,665,665,665,-,0.00%
412,2011-08-14,665,665,665,665,-,0.00%
413,2011-08-15,665,665,665,665,-,0.00%
414,2011-08-16,665,665,665,665,-,0.00%
415,2011-08-17,665,660,661,660,0.02K,0.00%
416,2011-08-18,665,665,665,665,-,0.00%
417,2011-08-19,665,665,665,665,-,0.00%
418,2011-08-21,665,665,665,665,-,0.00%
419,2011-08-22,665,665,665,665,-,0.00%
420,2011-08-23,665,665,665,665,-,0.00%
421,2011-08-24,665,665,665,665,-,0.00%
422,2011-08-25,665,665,665,665,-,0.00%
423,2011-08-26,665,665,665,665,-,0.00%
424,2011-08-28,665,665,665,665,-,0.00%
425,2011-08-29,665,665,665,665,-,0.00%
426,2011-08-30,665,665,665,665,-,0.00%
427,2011-08-31,695,695,695,695,-,4.51%
428,2011-09-01,695,695,695,695,-,0.00%
429,2011-09-02,695,695,725,695,-,0.00%
430,2011-09-04,695,695,695,695,-,0.00%
431,2011-09-06,695,695,695,695,-,0.00%
432,2011-09-07,695,695,695,695,-,0.00%
433,2011-09-08,695,695,730,695,-,0.00%
434,2011-09-09,695,695,700,695,-,0.00%
435,2011-09-11,695,695,700,695,-,0.00%
436,2011-09-12,695,695,695,695,-,0.00%
437,2011-09-13,695,695,695,695,-,0.00%
438,2011-09-14,695,695,695,695,-,0.00%
439,2011-09-15,695,695,695,695,-,0.00%
440,2011-09-16,695,695,695,695,-,0.00%
441,2011-09-18,695,695,695,695,-,0.00%
442,2011-09-19,695,695,695,695,-,0.00%
443,2011-09-20,698,698,698,698,-,0.43%
444,2011-09-21,698,705,705,705,0.01K,0.00%
445,2011-09-22,698,698,698,698,0.10K,0.00%
446,2011-09-23,698,698,698,698,-,0.00%
447,2011-09-25,698,698,698,698,-,0.00%
448,2011-09-26,698,680,680,680,0.01K,0.00%
449,2011-09-27,690,675,685,675,0.02K,-1.15%
450,2011-09-28,665,665,665,665,-,-3.62%
451,2011-09-29,675,675,675,675,-,1.50%
452,2011-09-30,675,675,675,675,0.00K,0.00%
453,2011-10-02,675,675,675,675,0.00K,0.00%
454,2011-10-03,670,665,665,665,0.02K,-0.74%
455,2011-10-04,665,660,665,660,0.01K,-0.75%
456,2011-10-05,665,665,665,665,-,0.00%
457,2011-10-06,665,665,675,665,-,0.00%
458,2011-10-07,665,665,665,665,-,0.00%
459,2011-10-09,665,665,665,665,-,0.00%
460,2011-10-10,665,665,665,665,-,0.00%
461,2011-10-11,665,665,665,665,-,0.00%
462,2011-10-12,670,666,669,666,0.00K,0.75%
463,2011-10-13,669,669,669,669,0.00K,-0.15%
464,2011-10-14,665,665,665,665,-,-0.60%
465,2011-10-16,665,665,665,665,-,0.00%
466,2011-10-17,665,665,665,665,-,0.00%
467,2011-10-18,665,665,665,665,-,0.00%
468,2011-10-19,665,640,640,640,0.01K,0.00%
469,2011-10-20,660,660,660,660,-,-0.75%
470,2011-10-21,660,660,660,660,-,0.00%
471,2011-10-23,660,660,660,660,-,0.00%
472,2011-10-24,660,660,660,660,-,0.00%
473,2011-10-25,660,660,660,660,-,0.00%
474,2011-10-26,635,635,635,635,-,-3.79%
475,2011-10-27,635,635,635,635,-,0.00%
476,2011-10-28,635,635,635,635,-,0.00%
477,2011-10-30,635,635,635,635,-,0.00%
478,2011-10-31,635,635,635,635,0.03K,0.00%
479,2011-11-01,635,635,635,635,-,0.00%
480,2011-11-02,635,635,635,635,-,0.00%
481,2011-11-03,635,635,635,635,-,0.00%
482,2011-11-04,635,635,635,635,-,0.00%
483,2011-11-06,635,635,635,635,-,0.00%
484,2011-11-07,635,635,635,635,-,0.00%
485,2011-11-08,635,635,635,635,-,0.00%
486,2011-11-09,635,635,635,635,-,0.00%
487,2011-11-10,635,635,635,635,-,0.00%
488,2011-11-11,630,630,630,630,-,-0.79%
489,2011-11-13,630,630,630,630,-,0.00%
490,2011-11-14,630,630,630,630,-,0.00%
491,2011-11-15,630,630,630,630,-,0.00%
492,2011-11-16,630,630,630,630,-,0.00%
493,2011-11-17,630,630,630,630,-,0.00%
494,2011-11-18,630,630,630,630,-,0.00%
495,2011-11-20,630,630,630,630,-,0.00%
496,2011-11-21,630,630,630,630,-,0.00%
497,2011-11-22,630,630,630,630,-,0.00%
498,2011-11-23,630,630,630,630,-,0.00%
499,2011-11-25,630,630,630,630,-,0.00%
500,2011-11-27,630,630,630,630,-,0.00%
501,2011-11-28,630,630,630,630,-,0.00%
502,2011-11-29,655,655,655,655,-,3.97%
503,2011-11-30,655,655,655,655,-,0.00%
504,2011-12-01,705,705,705,705,0.08K,7.63%
505,2011-12-02,705,705,705,705,-,0.00%
506,2011-12-04,705,705,705,705,-,0.00%
507,2011-12-05,675,675,675,675,0.04K,-4.26%
508,2011-12-06,675,675,675,675,-,0.00%
509,2011-12-07,675,675,675,675,-,0.00%
