Date,Price,Open,High,Low,Vol.,Change %
104,2010-06-03,"1,208.30","1,223.70","1,224.20","1,201.00",1.55K,-1.01%
105,2010-06-04,"1,216.20","1,207.60","1,220.40","1,196.90",1.07K,0.65%
106,2010-06-07,"1,239.30","1,220.40","1,244.70","1,211.00",0.86K,1.90%
107,2010-06-08,"1,244.00","1,241.50","1,252.10","1,234.10",0.76K,0.38%
108,2010-06-09,"1,228.50","1,237.00","1,238.20","1,222.00",0.45K,-1.25%
109,2010-06-10,"1,220.80","1,232.80","1,233.50","1,215.10",0.49K,-0.63%
110,2010-06-11,"1,228.90","1,219.50","1,229.60","1,218.00",0.48K,0.66%
111,2010-06-14,"1,223.30","1,230.20","1,232.70","1,217.70",0.99K,-0.46%
112,2010-06-15,"1,233.20","1,222.60","1,236.00","1,222.40",0.25K,0.81%
113,2010-06-16,"1,229.30","1,232.00","1,237.60","1,228.50",0.32K,-0.32%
114,2010-06-17,"1,247.50","1,233.90","1,251.10","1,233.90",0.27K,1.48%
115,2010-06-18,"1,257.20","1,247.70","1,261.50","1,242.90",0.13K,0.78%
116,2010-06-21,"1,239.70","1,257.40","1,264.80","1,232.00",0.22K,-1.39%
117,2010-06-22,"1,239.90","1,239.50","1,242.80","1,232.10",0.17K,0.02%
118,2010-06-23,"1,234.10","1,240.20","1,245.10","1,226.90",0.10K,-0.47%
119,2010-06-24,"1,245.50","1,236.40","1,248.10","1,230.70",0.25K,0.92%
120,2010-06-25,"1,255.80","1,246.70","1,256.90","1,243.70",0.16K,0.83%
121,2010-06-28,"1,238.20","1,254.50","1,262.00","1,238.00",0.05K,-1.40%
122,2010-06-29,"1,242.00","1,239.40","1,245.00","1,228.50",0.42K,0.31%
123,2010-06-30,"1,245.50","1,244.20","1,246.20","1,236.70",0.07K,0.28%
124,2010-07-01,"1,206.30","1,241.70","1,242.40","1,204.20",0.05K,-3.15%
125,2010-07-02,"1,207.40","1,201.40","1,211.60","1,200.80",0.17K,0.09%
126,2010-07-06,"1,194.80","1,207.30","1,211.80","1,190.50",0.05K,-1.04%
127,2010-07-07,"1,198.60","1,185.80","1,198.70","1,185.30",0.02K,0.32%
128,2010-07-08,"1,195.80","1,203.30","1,203.30","1,189.30",0.09K,-0.23%
129,2010-07-09,"1,209.60","1,199.20","1,213.00","1,195.00",0.02K,1.15%
130,2010-07-12,"1,198.50","1,206.20","1,206.20","1,204.00",0.05K,-0.92%
