Date,Price,Open,High,Low,Vol.,Change %
131,2010-07-30,"21,095.00","21,095.00","21,095.00","21,095.00",-,2.29%
132,2010-08-02,"21,898.00","21,898.00","21,898.00","21,898.00",-,3.81%
133,2010-08-03,"21,614.00","21,614.00","21,614.00","21,614.00",-,-1.30%
134,2010-08-04,"21,898.00","21,898.00","21,898.00","21,898.00",-,1.31%
135,2010-08-05,"21,819.00","21,819.00","21,819.00","21,819.00",-,-0.36%
136,2010-08-06,"22,044.00","22,044.00","22,044.00","22,044.00",-,1.03%
137,2010-08-09,"22,740.00","22,740.00","22,740.00","22,740.00",-,3.16%
138,2010-08-10,"22,137.00","22,137.00","22,137.00","22,137.00",-,-2.65%
139,2010-08-11,"21,630.00","21,630.00","21,630.00","21,630.00",-,-2.29%
140,2010-08-12,"21,359.00","21,359.00","21,359.00","21,359.00",-,-1.25%
141,2010-08-13,"21,209.00","21,209.00","21,209.00","21,209.00",-,-0.70%
142,2010-08-16,"21,479.00","21,479.00","21,479.00","21,479.00",-,1.27%
143,2010-08-19,"21,752.00","21,752.00","21,752.00","21,752.00",-,1.27%
144,2010-08-20,"21,509.00","21,509.00","21,509.00","21,509.00",-,-1.12%
145,2010-08-23,"21,157.50","21,157.50","21,157.50","21,157.50",-,-1.63%
146,2010-08-24,"20,558.50","20,558.50","20,558.50","20,558.50",-,-2.83%
147,2010-08-25,"20,048.00","20,048.00","20,048.00","20,048.00",-,-2.48%
148,2010-08-26,"20,408.00","20,408.00","20,408.00","20,408.00",-,1.80%
149,2010-08-27,"21,009.00","21,009.00","21,009.00","21,009.00",-,2.94%
150,2010-08-31,"20,657.00","20,657.00","20,657.00","20,657.00",-,-1.68%
151,2010-09-01,"21,006.00","21,006.00","21,006.00","21,006.00",-,1.69%
152,2010-09-02,"21,603.00","21,603.00","21,603.00","21,603.00",-,2.84%
153,2010-09-03,"21,560.00","21,560.00","21,560.00","21,560.00",-,-0.20%
154,2010-09-06,"22,112.00","22,112.00","22,112.00","22,112.00",-,2.56%
155,2010-09-07,"22,162.00","22,162.00","22,162.00","22,162.00",-,0.23%
156,2010-09-08,"22,894.00","22,894.00","22,894.00","22,894.00",-,3.30%
157,2010-09-09,"22,745.00","22,745.00","22,745.00","22,745.00",-,-0.65%
